PLAN TYPE,PLAN NO,PLAN YEAR,CALENDAR YEAR,Plan,DESCRIPITION OF PLAN,# OF SHEETS,Project on File,LINK TO ELECTRONIC FILES
SC,1,1989,Mar-89,SC-1-1989,RALEIGH BLVD.SHP.CTR.;20'S.S.EAS'MT.-WARD PROPERTY - RALEIGH BLVD.; KING CHARLES RD. & GLASCOCK ST,2,X,SC-1-1989
SC,1,1990,Nov-89,SC-1-1990,SPRING HILL SHOPPING CENTER;(S-1045) - 5600 LOUISBURG RD & SPRING FOREST RD,1,X,SC-1-1990
SC,3,1989,Jan-90,SC-3-1989,NEWTON COMMONS SHOPPING CENTER (P-859) - 200 BLOCK OF NEWTON RD.,1,X,SC-3-1989
SC,3,1990,Dec-89,SC-3-1990,FURNITURE STORE COMPLEX  (L-1094;L-1111) - 6700 BLOCK OF PLEASANT VALLEY RD,2,X,SC-3-1990
SC,4,1986,Nov-86,SC-4-1986,WACHOVIA BANK(OLD NORTH HILLS) - 4220 LASSITER MILL (P-793),1,X,SC-4-1986
SC,4,1987,Oct-87,SC-4-1987,PAVILION ON SPRING FOREST (Q-1139) - 2400 SPRING FOREST RD.,1,X,SC-4-1987
SC,4,1989,Oct-89,SC-4-1989,LOT 3;EXXON-PAVILION SHP.CTR.;R/W DEDICATION (Q-1239) - 2401 SPRING FOREST RD,1,X,SC-4-1989
SC,6,1987,Dec-86,SC-6-1987,RICHLAND SHOPPING CENTER  (K-677) - 4101 DURALEIGH RD,1,X,SC-6-1987
SC,9,1990,Jan-92,SC-9-1990,RECOMB.&EAS'MT.DEDICATION;CAMERON VILLAGE SHP.CTR. - CLARK AVE ; OBERLIN RD ; WOODBURN RD ; SMALLWOOD DR & CAMERON ST.,1,X,SC-9-1990
SC,10,1990,Jul-92,SC-10-1990,SAN.SEW.& STORM DRAIN.EAS'MT.;TOWN RIDGE SQUARE - GLENWOOD AVE & PLEASANT VALLEY RD.,1,X,SC-10-1990
SC,13,1989,May-89,SC-13-1989,SIX FORKS RD.AUTO & CONVEINCE CTR. - NEWTON RD. & SIX FORKS RD.(P-861),1,X,SC-13-1989
SC,21,1988,Sep-88,SC-21-1988,RALEIGH OAKS SHOPPING CENTER  (Y-450 ;Y451) - 2700 BLOCK OF LAKE WHEELER RD,2,X,SC-21-1988
SC,24,1987,Jun-84,SC-24-1987,SIX FORKS STATION SHOPPING CENTER   (M-813) -8600 & 8700 BLOCK OF SIX FORKS RD.,1,X,SC-24-1987
SC,28,1987,Jul-87,SC-28-1987,CENTURY CENTER - 3400 BLOCK -POOLE RD.(T-666),1,X,SC-28-1987
SC,38,1986,Feb-86,SC-38-1986,TOWER NORTH PLAZA ; 8300 CREEDMOOR RD.  (L-779),1,X,SC-38-1986
SC,40,1987,1987,SC-40-1987,PROPOSED ADDITIONS TO NORTH RIDGE SHOPPING CENTER - SPRING FOREST RD & FALLS OF NEUSE RD,1,X,SC-40-1987
SC,40,1989,Jul-91,SC-40-1989,RALEIGH NORTH EAST COMMERCIAL     (S-1027),1,X,SC-40-1989
SC,42,1986,Jul-86,SC-42-1986,ATLANTIC AVE.SHOPPING CENTER;1800 BLK.MILLBROOK RD.,1,X,SC-42-1986
SC,55,1984,Apr-86,SC-55-1984,GREYSTONE VILLAGE;(M-750) LEADMINE & SAWMILL RD'S - 7700 & 7800 LEADMINE RD.,1,X,SC-55-1984
SC,56,1986,Apr-89,SC-56-1986,LT.3-C;PH.II COMMERCIAL;OLD RALEIGH DEVELOPMENT(K-738) - 3231 EDWARDS MILL RD.,1,X,SC-56-1986
S,1,1990,1990,S-1-1990,GREENWAY SURVEY AND DEDICATION BY GREYSTONE HOMEOWNERS ASSOCIATION,2,X,S-1-1990
S,1,1991,1991,S-1-1991,LOTS 1 & 2 - CLARK AVENUE SUBDIVISION ; PHASE 2,2,X,S-1-1991
S,1,1993,1993,S-1-1993,HUNTERS KNOLL SUBDIVISION ; PHASE'S 1 THRU 3,9,X,S-1-1993
S,1,1994,1994,S-1-1994,WINDSOR WOODS - LOTS 1 THRU 11 ; 37 & 47,1,X,S-1-1994
S,1,1995,1995,S-1-1995,HEDINGHAM - SHADOW GLEN @ CASTLE PINES PH 1,7,X,S-1-1995
S,1,1996,1996,S-1-1996,LEESVILLE TOWNS,3,X,S-1-1996
S,1,1997,1997,S-1-1997,PROPERTY SURVEY SUBDIVISION FOR JERRY PRICE ;4500-4600 PEARL RD.,1,X,S-1-1997
S,1,1998,1998,S-1-1998,BENNETT PLACE PH 2  - SITE; ROAD; STRM; ERO; P&P,7,X,S-1-1998
S,1,1999,1999,S-1-1999,ALEXANDRIA SQUARE TOWNS - SITE; SS;STRM; P&P,15,X,S-1-1999
S,1,1999,2000,S-1-1999,ALEXANDRA SQUARE TOWNHOMES - STE; SS; STEM SWR; ERO,15,X,S-1-1999
S,1,1999,2001,S-1-1999,ALEXANDRA SQUARE TOWNHOMES,15,X,S-1-1999
S,1,2000,2000,S-1-2000,RAVEN POINTE SUBD PH &2 - STE; UTE; RDS; P&P; ERO,27,X,S-1-2000
S,1,2001,2001,S-1-2001,LANDOVER SUBD - STRM DR; ERO; UTE; RDS P&P; DTLS,13,X,S-1-2001
S,1,2001,2003,S-1-2001,LANDOVER SUBD- FORESTVILLE RD WIDENING      P&P,1,X,S-1-2001
S,1,2001,2002,S-1-2001,LANDOVER SUBD REVISED - UTE; STRM; ERO; P&P,12,X,S-1-2001
S,1,2007,7-Oct,S-1-2007,SEWER REPLACEMNT FOR GOODMAN PROP - 719 LAKESTONE DR,1,X,S-1-2007
S,1,2008,8-Nov,S-1-2008,TRYON  PARK - TRYON RD. & GARNER RD.,15,X,S-1-2008
S,1,2009,9-Jul,S-1-2009,SHEETZ AT CORPORATE CENTER,24,X,S-1-2009
S,1,2010,10-Jul,S-1-2010,ARBOR CHASE SUBDIV ; PHASES 3 ; UTILITY & LANDSCAPE PLAN,6,X,S-1-2010
S,1,2011,11-Nov,S-1-2011,WATER GARDEN VILLAGE - INFRASTRUCTURE CONST. DRAWINGS -WATER & SEWER;REV.8-1-2012,41,X,S-1-2011
S,2,1985,Feb-85,S-2-1985,ADDITION OF PRIVATE SANITARY SEWER EASEMENT / TEALBRIAR SUBDIVISION ; LOTS 75 & 120,1,X,S-2-1985
S,2,1987,Jul-87,S-2-1987,BARTON PLACE SUBDIVISION,1,X,S-2-1987
S,2,1991,Oct-91,S-2-1991,RECOMBINATION AND FURTHER SUBDIVISION OF FLONNIE HOLDER PROPERTY,1,X,S-2-1991
S,2,1993,Feb-93,S-2-1993,LYNN ROAD SUBDIVISION / SIXTEEN TEN WOLFPACK LANE,2,X,S-2-1993
S,2,1994,1994,S-2-1994,HEATHROW / DURANT TRACE SECTION / PHASES 1 & 2,8,X,S-2-1994
S,2,1995,1995,S-2-1995,THREE LOT SUBDIVISION FROM PROPERTY OF FRED J.MATT,1,X,S-2-1995
S,2,1998,1998,S-2-1998,DEWREMA SCOTT SUBDIVISION,1,X,S-2-1998
S,2,1999,1999,S-2-1999,MEADOWOOD CROSSING - SITE; UTE; RD; P&P,18,x,S-2-1999
S,2,1999,2000,S-2-1999,MEADOWWOOD CROSSING REVISION - SITE PLAN  REV.,1,X,S-2-1999
S,2,2001,2001,S-2-2001,ASHLEY PLACE - EXT; UTE; GR; ERO; DTL; P&P; LAND CONF,15,X,S-2-2001
S,2,2002,2002,S-2-2002,BRIER CRK-LAND BAY B;   PH 16     STE;GR;DR;ERO;UTE; P&P,13,X,S-2-2002
S,2,2003,2003,S-2-2003,FALLS RIVER PH 14 CONST UTIL/STORM DR,7,X,S-2-2003
S,2,2005,2005,S-2-2005,MAGNOLIA HILL TOWNHOMES AT WAKEFIELD PLANTATION,14,X,S-2-2005
S,2,2012,8/9/2012,S-2-2012,WOODFIELD MARSHALL PARK TOWNES - CONST. PLANS ; REVISED 5/28/2013,23,X,S-2-2012
S,3,1988,Aug-88,S-3-1988,WESTRIDGE SUBDIVISION ; PHASE'S 2 & 3,1,X,S-3-1988
S,3,1990,Apr-90,S-3-1990,SOUTH EAST STREET TOWN HOMES ;U-140,9,X,S-3-1990
S,3,1996,1996,S-3-1996,MARIAN INDUSTRIAL PARK,20,X,S-3-1996
S,3,1997,1998,S-3-1997,NEUSE POINT VILLAGE PH 1 - SITE; UTE; ROADS; P&P; ERO; STORM,14,X,S-3-1997
S,3,1997,1999,S-3-1997,NEUSE POINT VILLAGE PH 1 - SITE; UTE; RDS; P&P,14,X,S-3-1997
S,3,1998,1998,S-3-1998,WADE AVENUE TOWN HOMES - SITE; UT; STRM,3,X,S-3-1998
S,3,2010,5/13/2010,S-3-2010,GLENLAKE SUB'D. PH'S 2 & 3,19,X,S-3-2010
S,3,2012,3/15/2913,S-3-2012,LOT 65 ; NORTH RALEIGH MEADOWS TOWNHOMES,10,X,S-3-2012
S,4,1975,Jun-75,S-4-1975,HIGHWOODS SUBDIVISION ; LOT 8 AND PHASE 3,2,X,S-4-1975
S,4,1987,Apr-87,S-4-1987,HESS SUBDIVISION ;N-146,1,X,S-4-1987
S,4,1989,Oct-89,S-4-1989,SUBDIVISION OF RICHARD G. & CAROL J. RHODE / MARLOWE RD.,3,X,S-4-1989
S,4,1990,1990,S-4-1990,RECOMBINATION AND SUBDIVISION OF SPRINGHILL SHOPPING CENTER,1,X,S-4-1990
S,4,1991,1991,S-4-1991,ATLANTIC PARK SUBDIVISION ; LOT 2,1,X,S-4-1991
S,4,1992,Aug-92,S-4-1992,PLAT SURVEY - HARGETT STREET - MONIE LANE SUBDIVISION,1,X,S-4-1992
S,4,1993,Nov-93,S-4-1993,DOMINION PARK ; PHASE 2 ; SECTION A,1,X,S-4-1993
S,4,1994,1994,S-4-1994,WOOD SPRING SUBDIV PHASE'S 1 THRU 12,24,X,S-4-1994
S,4,1997,1997,S-4-1997,BATTLEBRIDGE SUBD PH 1 - LOT LAYOUT; P&P; MASTER PLAN,21,X,S-4-1997
S,4,1998,Nov-98,S-4-1998,RECOMBINATION CHESTER PLACE 2 TOWNHOUSES,1,X,S-4-1998
S,4,1999,1999,S-4-1999,TRAEMOOR SUBD - SITE; UTE; P&P; RDS; P&P,28,X,S-4-1999
S,4,1999,2000,S-4-1999,TRAEMOOR MANOR PH3 - SS; STE; RDS; P&P,4,X,S-4-1999
S,4,1999,2000,S-4-1999,TRAEMOOR SUBD REVISION - RDS; PV & STRM DR; P&P,3,X,S-4-1999
S,4,2004,2004,S-4-2004,VILLAGES OF SWIFT CREEK PHASES 1-8,33,X,S-4-2004
S,4,2005,2005,S-4-2005,ROSEMONT GARDEN LOT 92 SANITARY SEWER,1,X,S-4-2005
S,4,2006,2006,S-4-2006,JEFFERYS GOVE SUBDIVISION LOTS 1-3 ; REVISED 12-20-2012,5,X,S-4-2006
S,5,1989,1989,S-5-1989,PARLIAMENT POINT AT GREYSTONE VILLAGE,1,X,S-5-1989
S,5,1991,1991,S-5-1991,PROPERTY OF LEWIS KAYE,1,X,S-5-1991
S,5,1994,Mar-94,S-5-1994,CAROLINA AVENUE TOWN HOMES ; LOTS 1 THRU 5,2,X,S-5-1994
S,5,1995,1995,S-5-1995,NORTH COLLEGE PARK (PH1),15,X,S-5-1995
S,5,1995,1995,S-5-1995,NORTH COLLEGE PARK P&P,23,X,S-5-1995
S,5,1995,1996,S-5-1995,NORTH COLLEGE PARK PH 2,15,X,S-5-1995
S,5,1995,1997,S-5-1995,NORTH COLLEGE PARK PH 4,10,X,S-5-1995
S,5,1995,1997,S-5-1995,NORTH COLLEGE PARK - ADDRESSES; DR,4,X,S-5-1995
S,5,1995,1997,S-5-1995,NORTH COLLEGE PARK - ADDRESSES; DR,4,X,S-5-1995
S,5,1997,1997,S-5-1997,WALNUT RIDGE PH 2,7,X,S-5-1997
